Профиль №1  с 01.11.2021 по 30.11.2021
Счетчик № 0816190453
Сохранен 30.11.2021 6:23:41

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
04.11.2021	03:00-04:00	000,0657	000,0000	000,0351	000,0000	
04.11.2021	04:00-05:00	000,0607	000,0000	000,0333	000,0000	
04.11.2021	05:00-06:00	000,0552	000,0000	000,0292	000,0000	
04.11.2021	06:00-07:00	000,0561	000,0000	000,0283	000,0000	
04.11.2021	07:00-08:00	000,0633	000,0000	000,0297	000,0000	
04.11.2021	08:00-09:00	000,0624	000,0000	000,0293	000,0000	
04.11.2021	09:00-10:00	000,0528	000,0000	000,0271	000,0000	
04.11.2021	10:00-11:00	000,0540	000,0000	000,0269	000,0000	
04.11.2021	11:00-12:00	000,0435	000,0000	000,0239	000,0000	
04.11.2021	12:00-13:00	000,0426	000,0000	000,0231	000,0000	
04.11.2021	13:00-14:00	000,0402	000,0000	000,0244	000,0000	
04.11.2021	14:00-15:00	000,0781	000,0000	000,0372	000,0000	
04.11.2021	15:00-16:00	000,0868	000,0000	000,0396	000,0000	
04.11.2021	16:00-17:00	000,1636	000,0000	000,0621	000,0000	
04.11.2021	17:00-18:00	000,1650	000,0000	000,0637	000,0000	
04.11.2021	18:00-19:00	000,1646	000,0000	000,0623	000,0000	
04.11.2021	19:00-20:00	000,1687	000,0000	000,0639	000,0000	
04.11.2021	20:00-21:00	000,1188	000,0000	000,0480	000,0000	
04.11.2021	21:00-22:00	000,1054	000,0000	000,0447	000,0000	
04.11.2021	22:00-23:00	000,0924	000,0000	000,0406	000,0000	
04.11.2021	23:00-24:00	000,1660	000,0000	000,0627	000,0000	
05.11.2021	00:00-01:00	000,1453	000,0000	000,0570	000,0000	
05.11.2021	01:00-02:00	000,1637	000,0000	000,0614	000,0000	
05.11.2021	02:00-03:00	000,1710	000,0000	000,0644	000,0000	
05.11.2021	03:00-04:00	000,1604	000,0000	000,0613	000,0000	
05.11.2021	04:00-05:00	000,1381	000,0000	000,0545	000,0000	
05.11.2021	05:00-06:00	000,1671	000,0000	000,0621	000,0000	
05.11.2021	06:00-07:00	000,1520	000,0000	000,0592	000,0000	
05.11.2021	07:00-08:00	000,1717	000,0000	000,0644	000,0000	
05.11.2021	08:00-09:00	000,1511	000,0000	000,0574	000,0000	
05.11.2021	09:00-10:00	000,1754	000,0000	000,0656	000,0000	
05.11.2021	10:00-11:00	000,1470	000,0000	000,0569	000,0000	
05.11.2021	11:00-12:00	000,1715	000,0000	000,0624	000,0000	
05.11.2021	12:00-13:00	000,1638	000,0000	000,0640	000,0000	
